Domain Name,Scan Date,Port Status,HTTP Status Code,HTTP Status Description,Additional Info
randomsite.com,2024-09-18,Port 80 Closed/Filtered,,No Response,
randomsite.com,2024-09-20,Port 443 Closed/Filtered,,No Response,
testdomain.net,2024-09-18,Port 80 Open,404.0,Not Found,
testdomain.net,2024-09-18,Port 443 Closed/Filtered,,No Response,
myexample.org,2024-09-18,Port 80 Closed/Filtered,,No Response,
myexample.org,2024-09-18,Port 443 Closed/Filtered,403.0,Forbidden,
samplepage.io,2024-09-18,Port 80 Closed/Filtered,404.0,Not Found,
samplepage.io,2024-09-18,Port 443 Open,,No Response,
exampledomain.com,2024-09-18,Port 80 Closed/Filtered,,No Response,
exampledomain.com,2024-09-18,Port 443 Open,200.0,OK,
coolwebsite.biz,2024-09-18,Port 80 Open,404.0,Not Found,
coolwebsite.biz,2024-09-18,Port 443 Closed/Filtered,404.0,Not Found,
randomdata.info,2024-09-18,Port 80 Closed/Filtered,404.0,Not Found,
randomdata.info,2024-09-18,Port 443 Closed/Filtered,200.0,OK,
testexample.net,2024-09-18,Port 80 Closed/Filtered,200.0,OK,
testexample.net,2024-09-18,Port 443 Open,200.0,OK,
demo.org,2024-09-18,Port 80 Open,,No Response,
demo.org,2024-09-18,Port 443 Open,,No Response,
siteplaceholder.com,2024-09-18,Port 80 Closed/Filtered,404.0,Not Found,
siteplaceholder.com,2024-09-18,Port 443 Closed/Filtered,403.0,Forbidden,
