Domain Name,Scan Date,Port Status,HTTP Status Code,HTTP Status Description,Additional Info,Type of Phishing
apk.lwxth.top,2024-09-19,"{80: 'open', 443: 'closed/filtered', 22: 'open'}",403,Forbidden,screenshots\apk.lwxth.top.png,N/A
rpc.dqmco.top,2024-09-19,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",403,Forbidden,screenshots\rpc.dqmco.top.png,N/A
rpc.kc7e.xyz,2024-09-19,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",403,Forbidden,screenshots\rpc.kc7e.xyz.png,N/A
www.dr-th.com,2024-09-19,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",403,Forbidden,screenshots\www.dr-th.com.png,N/A
www.flash-or.online,2024-09-19,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",200,OK,screenshots\www.flash-or.online.png,N/A
www.flq-fh.com,2024-09-19,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",200,OK,screenshots\www.flq-fh.com.png,N/A
www.fim-sh.cc,2024-09-19,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\www.fim-sh.cc.png,N/A
paa-line.cc,2024-09-19,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",200,OK,screenshots\paa-line.cc.png,N/A
www.fia-bp.cc,2024-09-19,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",200,OK,screenshots\www.fia-bp.cc.png,N/A
rpc.wxzth.top,2024-09-19,"{80: 'open', 443: 'open', 22: 'open'}",200,OK,screenshots\rpc.wxzth.top.png,N/A
www.xll-fh.com,2024-09-19,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",200,OK,screenshots\www.xll-fh.com.png,N/A
tnt-express.com,2024-09-19,{},N/A,N/A,screenshots\tnt-express.com.png,N/A
dga.nt-th.cc,2024-09-19,{},N/A,N/A,screenshots\dga.nt-th.cc.png,N/A
www.fku-sh.cc,2024-09-19,{},N/A,N/A,screenshots\www.fku-sh.cc.png,N/A
www.fla-ya.com,2024-09-19,{},N/A,N/A,screenshots\www.fla-ya.com.png,N/A
apk.lwxth.top,2024-09-22,"{80: 'open', 443: 'closed/filtered', 22: 'open'}",N/A,N/A,screenshots\apk.lwxth.top.png,N/A
rpc.dqmco.top,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\rpc.dqmco.top.png,N/A
rpc.kc7e.xyz,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\rpc.kc7e.xyz.png,N/A
www.dr-th.com,2024-09-22,{},N/A,N/A,screenshots\www.dr-th.com.png,N/A
www.flash-or.online,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\www.flash-or.online.png,N/A
www.flq-fh.com,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\www.flq-fh.com.png,N/A
www.fim-sh.cc,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\www.fim-sh.cc.png,N/A
paa-line.cc,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\paa-line.cc.png,N/A
www.fia-bp.cc,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\www.fia-bp.cc.png,N/A
rpc.wxzth.top,2024-09-22,"{80: 'open', 443: 'open', 22: 'open'}",N/A,N/A,screenshots\rpc.wxzth.top.png,N/A
www.xll-fh.com,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\www.xll-fh.com.png,N/A
tnt-express.com,2024-09-22,{},N/A,N/A,screenshots\tnt-express.com.png,N/A
dga.nt-th.cc,2024-09-22,{},N/A,N/A,screenshots\dga.nt-th.cc.png,N/A
www.fku-sh.cc,2024-09-22,{},N/A,N/A,screenshots\www.fku-sh.cc.png,N/A
www.fla-ya.com,2024-09-22,{},N/A,N/A,screenshots\www.fla-ya.com.png,N/A
apk.lwxth.top,2024-09-22,"{80: 'open', 443: 'closed/filtered', 22: 'open'}",N/A,N/A,screenshots\apk.lwxth.top.png,N/A
rpc.dqmco.top,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\rpc.dqmco.top.png,N/A
rpc.kc7e.xyz,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\rpc.kc7e.xyz.png,N/A
www.dr-th.com,2024-09-22,{},N/A,N/A,screenshots\www.dr-th.com.png,N/A
www.flash-or.online,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\www.flash-or.online.png,N/A
www.flq-fh.com,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\www.flq-fh.com.png,N/A
www.fim-sh.cc,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\www.fim-sh.cc.png,N/A
paa-line.cc,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\paa-line.cc.png,N/A
www.fia-bp.cc,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\www.fia-bp.cc.png,N/A
rpc.wxzth.top,2024-09-22,"{80: 'open', 443: 'open', 22: 'open'}",N/A,N/A,screenshots\rpc.wxzth.top.png,N/A
www.xll-fh.com,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\www.xll-fh.com.png,N/A
tnt-express.com,2024-09-22,{},N/A,N/A,screenshots\tnt-express.com.png,N/A
dga.nt-th.cc,2024-09-22,{},N/A,N/A,screenshots\dga.nt-th.cc.png,N/A
www.fku-sh.cc,2024-09-22,{},N/A,N/A,screenshots\www.fku-sh.cc.png,N/A
www.fla-ya.com,2024-09-22,{},N/A,N/A,screenshots\www.fla-ya.com.png,N/A
apk.lwxth.top,2024-09-22,"{80: 'open', 443: 'closed/filtered', 22: 'open'}",N/A,N/A,screenshots\apk.lwxth.top.png,N/A
rpc.dqmco.top,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\rpc.dqmco.top.png,N/A
rpc.kc7e.xyz,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\rpc.kc7e.xyz.png,N/A
www.dr-th.com,2024-09-22,{},N/A,N/A,screenshots\www.dr-th.com.png,N/A
www.flash-or.online,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\www.flash-or.online.png,N/A
www.flq-fh.com,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\www.flq-fh.com.png,N/A
www.fim-sh.cc,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\www.fim-sh.cc.png,N/A
paa-line.cc,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\paa-line.cc.png,N/A
www.fia-bp.cc,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\www.fia-bp.cc.png,N/A
rpc.wxzth.top,2024-09-22,"{80: 'open', 443: 'open', 22: 'open'}",N/A,N/A,screenshots\rpc.wxzth.top.png,N/A
www.xll-fh.com,2024-09-22,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",N/A,N/A,screenshots\www.xll-fh.com.png,N/A
tnt-express.com,2024-09-22,{},N/A,N/A,screenshots\tnt-express.com.png,N/A
dga.nt-th.cc,2024-09-22,{},N/A,N/A,screenshots\dga.nt-th.cc.png,N/A
www.fku-sh.cc,2024-09-22,{},N/A,N/A,screenshots\www.fku-sh.cc.png,N/A
www.fla-ya.com,2024-09-22,{},N/A,N/A,screenshots\www.fla-ya.com.png,N/A
apk.lwxth.top,2024-09-23,"{80: 'open', 443: 'closed/filtered', 22: 'open'}",403,Forbidden,screenshots\apk.lwxth.top.png,N/A
rpc.dqmco.top,2024-09-23,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",403,Forbidden,screenshots\rpc.dqmco.top.png,N/A
rpc.kc7e.xyz,2024-09-23,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",403,Forbidden,screenshots\rpc.kc7e.xyz.png,N/A
www.dr-th.com,2024-09-23,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",403,Forbidden,screenshots\www.dr-th.com.png,N/A
www.flash-or.online,2024-09-23,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",200,OK,screenshots\www.flash-or.online.png,N/A
www.flq-fh.com,2024-09-23,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",200,OK,screenshots\www.flq-fh.com.png,N/A
www.fim-sh.cc,2024-09-23,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",200,OK,screenshots\www.fim-sh.cc.png,N/A
paa-line.cc,2024-09-23,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",200,OK,screenshots\paa-line.cc.png,N/A
www.fia-bp.cc,2024-09-23,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",200,OK,screenshots\www.fia-bp.cc.png,N/A
rpc.wxzth.top,2024-09-23,"{80: 'open', 443: 'open', 22: 'open'}",200,OK,screenshots\rpc.wxzth.top.png,N/A
www.xll-fh.com,2024-09-23,"{80: 'open', 443: 'open', 22: 'closed/filtered'}",200,OK,screenshots\www.xll-fh.com.png,N/A
tnt-express.com,2024-09-23,{},N/A,N/A,screenshots\tnt-express.com.png,N/A
dga.nt-th.cc,2024-09-23,{},N/A,N/A,screenshots\dga.nt-th.cc.png,N/A
www.fku-sh.cc,2024-09-23,{},N/A,N/A,screenshots\www.fku-sh.cc.png,N/A
www.fla-ya.com,2024-09-23,{},N/A,N/A,screenshots\www.fla-ya.com.png,N/A
www.fla-ya.com,2024-09-23,{},N/A,N/A,screenshots\www.fla-ya.com.png,N/A
